date,return
2025-03-26,-0.01156754
2025-03-27,-0.00932896
2025-03-28,-0.01545515
2025-03-31,0.00334652
2025-04-01,0.00431233
2025-04-02,0.00636315
2025-04-03,-0.0513769
2025-04-04,-0.06790137
2025-04-07,-0.00181377
2025-04-08,-0.01423091
2025-04-09,0.09704137
2025-04-10,-0.03896097
2025-04-11,0.02133712
2025-04-14,0.00806138
2025-04-15,-0.00040502
2025-04-16,-0.01594378
2025-04-17,0.00488743
2025-04-21,-0.02560491
2025-04-22,0.0228749
2025-04-23,0.01680783
2025-04-24,0.0256489
2025-04-25,0.00369645
2025-04-28,0.00392947
2025-04-29,0.0032919
2025-04-30,-0.00319074
2025-05-01,0.00536979
2025-05-02,0.0178382
2025-05-05,-0.00662872
2025-05-06,-0.00081197
2025-05-07,0.00700858
2025-05-08,0.0049175
2025-05-09,0.00384581
2025-05-12,0.0287366
2025-05-13,0.01228524
2025-05-14,0.00065384
2025-05-15,0.00614244
2025-05-16,0.00492478
2025-05-19,-2.752e-05
2025-05-20,-0.00309772
2025-05-21,-0.01616583
2025-05-22,-0.00216812
2025-05-23,0.01083451
2025-05-27,0.0200448
2025-05-28,-0.00786892
2025-05-29,0.00092479
2025-05-30,-0.00320232
2025-06-02,0.00587377
2025-06-03,0.01153509
2025-06-04,-0.00310511
2025-06-05,-0.00307876
2025-06-06,0.01131206
2025-06-09,0.00569464
2025-06-10,0.00386503
2025-06-11,0.00970444
2025-06-12,0.00436765
2025-06-13,-0.0064102
2025-06-16,0.01282451
