ret,vol,sharpe,feasible
0.194318,0.191684,0.824993,True
0.199004,0.190602,0.85426,False
0.16176,0.176174,0.712818,False
0.162023,0.180414,0.697521,True
0.164743,0.160504,0.800996,False
0.18533,0.176412,0.845463,False
0.149243,0.172852,0.654102,False
0.170496,0.176218,0.762216,False
0.1746,0.172647,0.801749,False
0.16801,0.177215,0.743897,False
0.154535,0.165267,0.716142,True
0.174865,0.171553,0.808408,False
0.180974,0.171938,0.842127,False
0.174366,0.166148,0.8317,False
0.198753,0.187317,0.867899,False
0.165338,0.165623,0.779829,False
0.176828,0.177599,0.791941,True
0.1379,0.15414,0.65992,True
0.175901,0.17162,0.814133,False
0.164655,0.175695,0.731238,False
0.188019,0.176748,0.859068,False
0.154393,0.161576,0.731625,False
0.143412,0.153277,0.699598,True
0.147963,0.165593,0.675043,False
0.174205,0.178356,0.773871,False
0.159138,0.178522,0.688755,False
0.147017,0.159325,0.695665,False
0.175198,0.181682,0.765172,False
0.134759,0.164545,0.599101,False
0.171254,0.166949,0.809073,True
0.147278,0.160614,0.691706,False
0.170529,0.176737,0.760164,False
0.170596,0.178046,0.754951,False
0.165454,0.178362,0.724786,True
0.156273,0.173846,0.690803,False
0.155032,0.169743,0.700187,True
0.190186,0.180387,0.853754,False
0.166905,0.166137,0.78685,False
0.152578,0.155534,0.748375,False
0.167369,0.186116,0.704874,False
0.152719,0.161197,0.722965,False
0.171096,0.167857,0.803758,True
0.175292,0.180526,0.770595,True
0.180891,0.178898,0.808904,False
0.151719,0.160743,0.718785,False
0.169525,0.172761,0.771844,False
0.181211,0.185953,0.779938,False
0.150957,0.171251,0.670227,False
0.17301,0.170617,0.80197,True
0.176521,0.18875,0.743529,False
0.151347,0.154361,0.746088,False
0.193689,0.186216,0.845842,False
0.163098,0.163396,0.776749,False
0.166955,0.160875,0.812894,False
0.139079,0.168643,0.610159,True
0.162891,0.16629,0.761991,False
0.212606,0.20145,0.875782,False
0.178633,0.170404,0.83597,False
0.200121,0.196145,0.835813,False
0.171784,0.171451,0.790919,True
0.162136,0.164048,0.767799,False
0.163217,0.163983,0.774695,True
0.186552,0.176898,0.850049,False
0.187252,0.172712,0.874704,False
0.170987,0.167097,0.80676,False
0.166263,0.159414,0.816012,False
0.156486,0.171029,0.703421,True
0.168274,0.164934,0.800887,False
0.16623,0.181024,0.718416,True
0.166817,0.1674,0.780387,False
0.147432,0.167824,0.662907,True
0.177726,0.197948,0.715065,False
0.183996,0.192135,0.769335,False
0.197403,0.189666,0.850037,False
0.177085,0.170657,0.825659,False
0.158024,0.163725,0.744201,False
0.157147,0.159074,0.76045,False
0.152423,0.179122,0.648957,True
